key,value,count,percent_of_total_changes_for_key
amenity,turning,2,0.0
amenity,usine bloc,2,0.0
amenity,usine block,2,0.0
amenity,utc prevu,2,0.0
amenity,vada pasal,2,0.0
amenity,value,2,0.0
amenity,wharf,2,0.0
amenity, 4 robinets,1,0.0
amenity, 5 Poubelle,1,0.0
amenity,2,1,0.0
amenity,2fix,1,0.0
amenity,5 Poubelle,1,0.0
amenity,ATM,1,0.0
amenity,Aasha Vidyashram School,1,0.0
amenity,Asha X-Ray Clinic,1,0.0
amenity,Association des Handicape_s en mouvement_  ASHAMO,1,0.0
amenity,Bagiswori Higher Secondary School,1,0.0
amenity,Bed and Resto,1,0.0
amenity,Boudeshwor Uchha Ma vi,1,0.0
amenity,Boulangerie,1,0.0
amenity,Brihaspati Vidyasadan School,1,0.0
amenity,Buddha Pashupati Academy,1,0.0
amenity,Bureau de Credit Agricol,1,0.0
amenity,Centre de formation professionnelle,1,0.0
amenity,Clinic,1,0.0
amenity,Collage,1,0.0
amenity,College of Business Management,1,0.0
amenity,Collony,1,0.0
amenity,Cyber-cafe,1,0.0
amenity,Electric pole,1,0.0
amenity,Electricity Transmission Tower,1,0.0
amenity,Gym,1,0.0
amenity,Haiti international Dock,1,0.0
amenity,Health Post,1,0.0
amenity,Health facility,1,0.0
amenity,Health post,1,0.0
amenity,Health_post,1,0.0
amenity,Hotel,1,0.0
amenity,Hotel et restaurant,1,0.0
amenity,Industrial,1,0.0
amenity,Jagriti school,1,0.0
amenity,Kerosene_depot,1,0.0
amenity,Lord Buddha Education Foundation,1,0.0
amenity,Mahanbwa Chiba,1,0.0
amenity,Majery Libary,1,0.0
amenity,Man made,1,0.0
amenity,Marche,1,0.0
amenity,Mero Nepal Yuva Club,1,0.0
amenity,Mini Montessori,1,0.0
amenity,Namuna English Boarding School,1,0.0
amenity,National Life Insurance Company Limited,1,0.0
amenity,Nepal Engineering College (PU),1,0.0
amenity,Office_Building,1,0.0
amenity,Poteau,1,0.0
amenity,Poulaillée,1,0.0
amenity,Refugee_Camp,1,0.0
amenity,Rue 1,1,0.0
amenity,Shree Krishna Prabha Primary School,1,0.0
amenity,Un route,1,0.0
amenity,Université,1,0.0
amenity,Valley View English School,1,0.0
amenity,Yuwalaya Office,1,0.0
amenity,a,1,0.0
amenity,abbatoir,1,0.0
amenity,amenity,1,0.0
amenity,amusement_arcade,1,0.0
amenity,animal_training,1,0.0
amenity,apartments,1,0.0
amenity,auditorium,1,0.0
amenity,baby_hatch,1,0.0
amenity,bag shop,1,0.0
amenity,bakery + restaurant,1,0.0
amenity,baptistery,1,0.0
amenity,bar;restaurant,1,0.0
amenity,barbar,1,0.0
amenity,bassin de retenue,1,0.0
amenity,bastra vandar,1,0.0
amenity,bell,1,0.0
amenity,bike servicing center,1,0.0
amenity,boos shop,1,0.0
amenity,bureau regional de la munistha de jacmel,1,0.0
amenity,bureau_de la croix-rouge,1,0.0
amenity,bureau_de_change;restaurant,1,0.0
amenity,bureau_edh,1,0.0
amenity,butcher,1,0.0
amenity,camping,1,0.0
amenity,cargo,1,0.0
amenity,centre senté,1,0.0
amenity,centre_technique,1,0.0
amenity,chateau,1,0.0
amenity,chautaro,1,0.0
amenity,checkpoint,1,0.0
amenity,child care,1,0.0
amenity,cinema;bar,1,0.0
amenity,cisterne,1,0.0
amenity,clothes,1,0.0
amenity,co operative,1,0.0
amenity,coll\,1,0.0
amenity,commercial,1,0.0
amenity,communty center,1,0.0
amenity,concert_hall,1,0.0
amenity,contour des toilettes,1,0.0
amenity,cooperative,1,0.0
amenity,cosmetics,1,0.0
amenity,courier,1,0.0
amenity,craft,1,0.0
amenity,cuisine,1,0.0
amenity,dancing_school,1,0.0
amenity,dechets,1,0.0
amenity,decoretion,1,0.0
amenity,depos,1,0.0
amenity,device_charging_station,1,0.0
amenity,douches,1,0.0
amenity,educational_institurion,1,0.0
amenity,electric pole,1,0.0
amenity,entree _route-riviere_cormier,1,0.0
amenity,events_centre,1,0.0
amenity,fitness_center,1,0.0
amenity,flag,1,0.0
amenity,fm,1,0.0
amenity,free family planning,1,0.0
amenity,fresh house,1,0.0
amenity,fruit shop,1,0.0
amenity,funeral_hall,1,0.0
amenity,furniture,1,0.0
amenity,"hamlet, FIXME",1,0.0
amenity,hardware,1,0.0
amenity,hardware shop,1,0.0
amenity,heal_post,1,0.0
amenity,health,1,0.0
amenity,health care,1,0.0
amenity,health_care,1,0.0
amenity,holsel,1,0.0
amenity,home,1,0.0
amenity,hopsital,1,0.0
amenity,hospital:duplicate,1,0.0
amenity,hospital;place_of_worship,1,0.0
amenity,imprimerie,1,0.0
amenity,industrial,1,0.0
amenity,jewellery,1,0.0
amenity,keket paticerie,1,0.0
amenity,kneipp_water_cure,1,0.0
amenity,lampadaire,1,0.0
amenity,language_schoo,1,0.0
amenity,luggage_locker,1,0.0
amenity,madira store,1,0.0
amenity,madkal,1,0.0
amenity,mailroom,1,0.0
amenity,medical,1,0.0
amenity,meeting space,1,0.0
amenity,meteo_station,1,0.0
amenity,money changer,1,0.0
