start_date,creates,edits,deletes,total
2021-05-10,413,51,7,471
2021-05-11,337,131,13,481
2021-05-12,1573,628,430,2631
2021-05-13,2129,856,725,3710
2021-05-14,1497,778,403,2678
2021-05-15,6,146,0,152
2021-05-16,849,550,5,1404
2021-05-17,1315,3528,660,5503
2021-05-18,86,197,105,388
2021-05-19,685,585,286,1556
2021-05-20,146,77,8,231
2021-05-21,315,174,57,546
2021-05-22,334,125,144,603
2021-05-23,212,227,0,439
2021-05-24,24,23,3,50
2021-05-25,806,566,158,1530
2021-05-26,487,56,157,700
2021-05-27,2376,5306,1823,9505
2021-05-28,3216,851,837,4904
2021-05-29,2,1,0,3
2021-05-30,85,142,0,227
2021-05-31,144,152,14,310
2021-06-01,147,184,0,331
2021-06-02,161,153,0,314
2021-06-03,543,1679,102,2324
2021-06-04,1307,3359,439,5105
2021-06-05,387,385,25,797
2021-06-06,26,76,11,113
2021-06-07,189,174,0,363
2021-06-08,9,29,0,38
2021-06-09,216,138,8,362
2021-06-10,1087,292,492,1871
2021-06-11,371,242,165,778
2021-06-12,1225,1907,519,3651
2021-06-13,764,1976,117,2857
2021-06-14,14227,22361,4113,40701
2021-06-15,1498,6899,410,8807
2021-06-16,19897,9835,1787,31519
2021-06-17,13373,7913,2323,23609
2021-06-18,1141,175,13,1329
2021-06-19,514,352,19,885
2021-06-20,1589,1673,238,3500
2021-06-21,1475,1016,93,2584
2021-06-22,703,5846,320,6869
2021-06-23,2162,620,189,2971
2021-06-24,876,581,58,1515
2021-06-25,982,579,304,1865
2021-06-26,2020,2891,239,5150
2021-06-27,377,3055,39,3471
2021-06-28,1301,5570,218,7089
2021-06-29,30,2,0,32
2021-06-30,127,228,93,448
2021-07-01,757,530,377,1664
2021-07-02,4854,1895,553,7302
2021-07-03,1973,129,60,2162
2021-07-04,2245,1507,368,4120
2021-07-05,708,250,117,1075
2021-07-06,491,134,99,724
2021-07-07,2111,410,213,2734
2021-07-08,1060,494,234,1788
2021-07-09,191,44,35,270
2021-07-10,53,67,9,129
2021-07-11,191,280,38,509
2021-07-12,413,316,23,752
2021-07-13,576,491,116,1183
2021-07-14,5,4,0,9
2021-07-15,679,402,14,1095
2021-07-16,2768,7344,617,10729
2021-07-17,1884,1525,229,3638
2021-07-18,436,2589,60,3085
2021-07-19,526,4500,1015,6041
2021-07-20,637,553,54,1244
2021-07-21,262,100,8,370
2021-07-22,518,1158,176,1852
2021-07-23,445,170,45,660
2021-07-24,1443,540,134,2117
2021-07-25,1144,457,355,1956
2021-07-26,4,4,0,8
2021-07-27,1637,287,22,1946
2021-07-28,161,116,62,339
2021-07-29,848,435,171,1454
2021-07-30,197,102,108,407
2021-07-31,397,182,100,679
2021-08-01,3,10,2,15
2021-08-02,1087,14,124,1225
2021-08-03,451,1185,79,1715
2021-08-04,110,34,41,185
2021-08-05,168,152,55,375
2021-08-06,19,3,0,22
2021-08-07,144,161,2,307
2021-08-08,1,12,15,28
2021-08-09,225,105,1,331
2021-08-10,406,134,196,736
2021-08-11,373,468,55,896
2021-08-12,88,147,22,257
2021-08-13,199,92,0,291
2021-08-14,4260,1528,1038,6826
2021-08-15,49547,14821,3230,67598
2021-08-16,90593,25186,3246,119025
2021-08-17,76790,19317,3973,100080
2021-08-18,55252,20597,5171,81020
2021-08-19,65272,20891,3843,90006
2021-08-20,28383,15027,2002,45412
2021-08-21,23455,8757,1831,34043
2021-08-22,19351,5657,1049,26057
2021-08-23,49744,8269,1439,59452
2021-08-24,26839,10090,4589,41518
2021-08-25,25549,11055,3127,39731
2021-08-26,22748,7188,2536,32472
2021-08-27,24036,7145,2328,33509
2021-08-28,6905,4130,1958,12993
2021-08-29,9538,5370,2114,17022
2021-08-30,20844,9941,3627,34412
2021-08-31,15965,6036,2085,24086
2021-09-01,11575,2580,1149,15304
2021-09-02,8469,3610,1208,13287
2021-09-03,8138,4978,1177,14293
2021-09-04,2084,1820,319,4223
2021-09-05,3355,1424,396,5175
2021-09-06,1632,1226,182,3040
2021-09-07,932,825,263,2020
2021-09-08,38989,4655,3761,47405
2021-09-09,3545,3695,1348,8588
2021-09-10,1268,2608,848,4724
2021-09-11,7033,6473,1274,14780
2021-09-12,4327,3218,726,8271
2021-09-13,7404,5483,2470,15357
2021-09-14,5981,7493,2475,15949
2021-09-15,15748,7662,2019,25429
2021-09-16,6095,6256,1367,13718
2021-09-17,3959,2709,720,7388
2021-09-18,2666,2377,765,5808
2021-09-19,4290,903,162,5355
2021-09-20,13452,4611,1149,19212
2021-09-21,4888,2483,643,8014
2021-09-22,10162,5238,719,16119
