key,count,percent_of_total_changes,percent_difference_from_pre,percent_difference_from_pre_day
contact:email,104,0.0212,181.0811,181.0811
drive_through,104,0.0212,92.5926,92.5926
clothes,102,0.0208,96.1538,96.1538
source_ref,102,0.0208,920.0,920.0
air_conditioning,100,0.0203,69.4915,69.4915
generator:source,100,0.0203,-49.4949,-49.4949
atm,99,0.0201,-7.4766,-7.4766
old_name:lat,99,0.0201,9800.0,9800.0
bus:lanes:forward,98,0.0199,68.9655,68.9655
addr:unit,97,0.0197,4.3011,4.3011
roller_coaster,97,0.0197,410.5263,410.5263
visibility,97,0.0197,304.1667,304.1667
indoor_seating,96,0.0195,37.1429,37.1429
name:zh,96,0.0195,2300.0,2300.0
source:wheelchair,96,0.0195,-17.2414,-17.2414
subject:wikipedia,96,0.0195,9500.0,9500.0
denotation,94,0.0191,-76.0204,-76.0204
cycleway:both:lane,93,0.0189,138.4615,138.4615
name:el,92,0.0187,2200.0,2200.0
aeroway,91,0.0185,405.5556,405.5556
diet:vegan,90,0.0183,157.1429,157.1429
traffic_sign:direction,90,0.0183,8900.0,8900.0
isced:level,88,0.0179,1366.6667,1366.6667
ref:isil,88,0.0179,-55.102,-55.102
currency:XBT,86,0.0175,244.0,244.0
source:start_date,86,0.0175,62.2642,62.2642
building:material,85,0.0173,46.5517,46.5517
ruins,85,0.0173,1316.6667,1316.6667
check_date:surface,80,0.0163,150.0,150.0
dispensing,80,0.0163,-29.2035,-29.2035
generator:method,79,0.0161,-60.101,-60.101
historic:civilization,78,0.0159,1200.0,1200.0
supervised,77,0.0157,20.3125,20.3125
toilets,77,0.0157,220.8333,220.8333
bus:lanes:backward,76,0.0155,38.1818,38.1818
capital,76,0.0155,2433.3333,2433.3333
departures_board,76,0.0155,58.3333,58.3333
operator:short,76,0.0155,105.4054,105.4054
generator:type,74,0.0151,-62.6263,-62.6263
memorial,74,0.0151,138.7097,138.7097
orientation,74,0.0151,957.1429,957.1429
generator:output:electricity,73,0.0149,-62.7551,-62.7551
is_in,73,0.0149,-14.1176,-14.1176
payment:bancomat,73,0.0149,192.0,192.0
artist_name,72,0.0146,60.0,60.0
name:de,72,0.0146,453.8462,453.8462
vending,72,0.0146,1.4085,1.4085
capacity:disabled,71,0.0144,-25.2632,-25.2632
fuel:GTL_diesel,71,0.0144,47.9167,47.9167
loc_name,71,0.0144,82.0513,82.0513
name:cs,71,0.0144,1083.3333,1083.3333
recycling:glass,70,0.0142,75.0,75.0
recycling:green_waste,70,0.0142,150.0,150.0
contact:website,69,0.014,60.4651,60.4651
fuel:lpg,69,0.014,68.2927,68.2927
postal_code,69,0.014,430.7692,430.7692
taxi,69,0.014,53.3333,53.3333
motorcar,68,0.0138,4.6154,4.6154
contact:mobile,67,0.0136,103.0303,103.0303
railway:etcs,67,0.0136,63.4146,63.4146
wetland,67,0.0136,3250.0,3250.0
facebook,66,0.0134,94.1176,94.1176
farmland,66,0.0134,3200.0,3200.0
name:la,66,0.0134,2100.0,2100.0
branch,65,0.0132,8.3333,8.3333
noname,65,0.0132,-45.8333,-45.8333
payment:mastercard,65,0.0132,62.5,62.5
payment:satispay,65,0.0132,441.6667,441.6667
payment:visa,65,0.0132,58.5366,58.5366
name:etymology,64,0.013,12.2807,12.2807
name:fr,63,0.0128,1160.0,1160.0
railway:bidirectional,63,0.0128,6200.0,6200.0
recycling:waste,61,0.0124,154.1667,154.1667
cargo_bike,60,0.0122,-29.4118,-29.4118
heritage,60,0.0122,328.5714,328.5714
heritage:operator,60,0.0122,328.5714,328.5714
locked,60,0.0122,140.0,140.0
payment:lightning,60,0.0122,328.5714,328.5714
ref:whc,60,0.0122,328.5714,328.5714
whc:inscription_date,60,0.0122,328.5714,328.5714
bollard,59,0.012,22.9167,22.9167
bottle,59,0.012,37.2093,37.2093
lamp_mount,58,0.0118,-50.8475,-50.8475
roof:material,58,0.0118,61.1111,61.1111
abandoned,57,0.0116,103.5714,103.5714
disused:shop,57,0.0116,119.2308,119.2308
fence_type,57,0.0116,90.0,90.0
parking:both,57,0.0116,-57.7778,-57.7778
maxweightrating:hgv,56,0.0114,1020.0,1020.0
playground,56,0.0114,-28.2051,-28.2051
lamp_type,55,0.0112,-54.918,-54.918
tracks,55,0.0112,-77.6423,-77.6423
name:ar,54,0.011,1250.0,1250.0
name:ca,54,0.011,1250.0,1250.0
name:sr,54,0.011,1250.0,1250.0
source2,54,0.011,157.1429,157.1429
source3,54,0.011,5300.0,5300.0
vehicle,54,0.011,86.2069,86.2069
whc:criteria,54,0.011,500.0,500.0
door,53,0.0108,211.7647,211.7647
meadow,53,0.0108,194.4444,194.4444
moped,52,0.0106,225.0,225.0
highspeed,51,0.0104,240.0,240.0
informal,51,0.0104,2450.0,2450.0
