key,value,count,percent_of_total_changes_for_key
name,Via Giacomo Antonio Perti,4,0.0909
name,Via Giuseppe Mazzini,4,0.0909
name,Via Giuseppe Pacchioni,4,0.0909
name,Via Guglielma,4,0.0909
name,Via Idice,4,0.0909
name,Via Irnerio,4,0.0909
name,Via Lughese,4,0.0909
name,Via Luigi Busi,4,0.0909
name,Via Massimo D'Azeglio,4,0.0909
name,Via Niccolò Copernico,4,0.0909
name,Via Nuova,4,0.0909
name,Via Nuova Selice,4,0.0909
name,Via Paolo Fabbri,4,0.0909
name,Via Pasquale Muratori,4,0.0909
name,Via Provinciale Superiore,4,0.0909
name,Via Sacco e Vanzetti,4,0.0909
name,Via Santa Barbara,4,0.0909
name,Via Santuzza,4,0.0909
name,Via Selice,4,0.0909
name,Via Senio,4,0.0909
name,Via Tevere,4,0.0909
name,Via Zamboni,4,0.0909
name,Via de' Foscherari,4,0.0909
name,Via del Faggiolo,4,0.0909
name,Via del Partigiano,4,0.0909
name,Via della Certosa,4,0.0909
name,Via della Rondine,4,0.0909
name,Via di Roma,4,0.0909
name,Viale Carlo Berti Pichat,4,0.0909
name,Viale Palmiro Togliatti,4,0.0909
name,Viale del Risorgimento,4,0.0909
name,Vodafone,4,0.0909
name,Alemanni,3,0.0682
name,Arcaplanet,3,0.0682
name,Area Sant'Orsola,3,0.0682
name,Binario 2 Ovest,3,0.0682
name,Binario 2/3 Ovest,3,0.0682
name,Binario 5,3,0.0682
name,Bio Market,3,0.0682
name,Bologna Arcoveggio,3,0.0682
name,Bologna Mazzini,3,0.0682
name,Bottega Verde,3,0.0682
name,Calzedonia,3,0.0682
name,Canale Cavaticcio / Navile,3,0.0682
name,Canale dei Molini,3,0.0682
name,Canaletta Ghisiliera,3,0.0682
name,Carisbo,3,0.0682
name,CeX,3,0.0682
name,Circonvallazione Canale Molinetto,3,0.0682
name,Circonvallazione Piazza d'Armi,3,0.0682
name,Circonvallazione canale Molinetto,3,0.0682
name,Coop,3,0.0682
name,Corte Isolani,3,0.0682
name,DOPPELGÄNGER,3,0.0682
name,Enel - stazione di ricarica,3,0.0682
name,Equivalenza,3,0.0682
name,Fossa Cavallina,3,0.0682
name,Galleria Cavour,3,0.0682
name,Galleria Ugo Bassi,3,0.0682
name,Guidotti,3,0.0682
name,Intimissimi,3,0.0682
name,KIKO Milano,3,0.0682
name,Kasanova,3,0.0682
name,Linea 2 (rete tranviaria di Bologna),3,0.0682
name,Mondadori,3,0.0682
name,Mura Anteo Zamboni,3,0.0682
name,Mura di Porta Lame,3,0.0682
name,Oltre,3,0.0682
name,Ospedale Bellaria,3,0.0682
name,Padiglione 8 - Ematologia Seragnoli,3,0.0682
name,Parcheggio del Centro,3,0.0682
name,Piazza Europa,3,0.0682
name,Piazza Galvani,3,0.0682
name,Piazza Giuseppe Verdi,3,0.0682
name,Piazza Malpighi,3,0.0682
name,Piazza San Domenico,3,0.0682
name,Piazza del Francia,3,0.0682
name,Piazza di Porta San Mamolo,3,0.0682
name,Piazzale Delfina Cima,3,0.0682
name,Polisportiva 2000,3,0.0682
name,Portici accademici di via Zamboni,3,0.0682
name,Portici di Piazza Cavour e Via Farini,3,0.0682
name,Q8,3,0.0682
name,Rio della Baruffa,3,0.0682
name,Rio di Monte Griffone,3,0.0682
name,Rio di Montecalvo,3,0.0682
name,Rotonda Enrico Brunetti Rodati,3,0.0682
name,Spazio Conad,3,0.0682
name,Stroili Oro,3,0.0682
name,TIM,3,0.0682
name,Tally Weijl,3,0.0682
name,Ugo Bassi,3,0.0682
name,Via Achille Grandi,3,0.0682
name,Via Alberete,3,0.0682
name,Via Aldo Moro,3,0.0682
name,Via Alessandro Algardi,3,0.0682
name,Via Alessandro Menganti,3,0.0682
name,Via Amerigo Vespucci,3,0.0682
name,Via Antonio Zoccoli,3,0.0682
name,Via Asiago,3,0.0682
name,Via Brignani,3,0.0682
name,Via Bruno Bencivenni,3,0.0682
name,Via Ca' Bosco,3,0.0682
name,Via Cadriano,3,0.0682
name,Via Canalazzo,3,0.0682
name,Via Capitania,3,0.0682
name,Via Caurinzano,3,0.0682
name,Via Cerba,3,0.0682
name,Via Delta,3,0.0682
name,Via Destra Canale Molinetto,3,0.0682
name,Via Don Giovanni Minzoni,3,0.0682
name,Via Don Tiso Galletti,3,0.0682
name,Via Emilia,3,0.0682
name,Via Fluno,3,0.0682
name,Via Francesco Carchidio,3,0.0682
name,Via Francesco Orsoni,3,0.0682
name,Via Giovanni Amendola,3,0.0682
name,Via Girolamo Giacobbi,3,0.0682
name,Via Giuseppe Guidicini,3,0.0682
name,Via Glorie,3,0.0682
name,Via Gorolo,3,0.0682
name,Via Guglielmo Marconi,3,0.0682
name,Via Leandro Alberti,3,0.0682
name,Via Lola,3,0.0682
name,Via Luigi Breventani,3,0.0682
name,Via Luigi Calori,3,0.0682
name,Via Luigi Carlo Farini,3,0.0682
name,Via Maccalone,3,0.0682
name,Via Marco Emilio Lepido,3,0.0682
name,Via Monfalcone,3,0.0682
name,Via Monsignor Vincenzo Cimatti,3,0.0682
name,Via Pennabilli,3,0.0682
name,Via Pietro Busacchi,3,0.0682
name,Via Pietro De Coubertin,3,0.0682
name,Via Ponte,3,0.0682
name,Via Portovenere,3,0.0682
name,Via Provinciale Bagnara,3,0.0682
name,Via Risorgimento,3,0.0682
name,Via Roncalceci,3,0.0682
name,Via San Donato,3,0.0682
name,Via Santa Lucia,3,0.0682
name,Via Venezia,3,0.0682
name,Via Vittoria,3,0.0682
name,Via Vittorio Veneto,3,0.0682
name,Via dei Carbonari,3,0.0682
name,Via del Carro,3,0.0682
name,Via del Portoncino,3,0.0682
name,Via dell'Indipendenza,3,0.0682
name,Via dell'Isonzo,3,0.0682
name,Via dell'Orso,3,0.0682
name,Via della Crocetta,3,0.0682
name,Via della Resistenza,3,0.0682
name,Via delle Belle Arti,3,0.0682
name,Via delle Moline,3,0.0682
name,Viale Alfredo Oriani,3,0.0682
name,Viale Antonio Aldini,3,0.0682
name,Viale Enrico Panzacchi,3,0.0682
name,Viale Mario Loreti,3,0.0682
name,Vicolo Colombina,3,0.0682
name,Vicolo Quartirolo,3,0.0682
name,Vicolo de' Santi,3,0.0682
name,Villa Benni,3,0.0682
name,XXI Aprile Zannoni,3,0.0682
name,AB Gelateria,2,0.0455
name,Albertoni,2,0.0455
name,Alimentari Alberto,2,0.0455
name,Amazon Hub Locker,2,0.0455
name,Ambulatorio Veterinario Guidotti,2,0.0455
name,Arco de Meloncello,2,0.0455
name,Argine Sx Fiume Montone,2,0.0455
name,Avirex,2,0.0455
name,B&B ABC,2,0.0455
name,BPER Banca,2,0.0455
name,Bacino di laminazione,2,0.0455
name,Banca di Bologna,2,0.0455
name,Bar Bianco,2,0.0455
name,Basilica di San Petronio,2,0.0455
name,Bata,2,0.0455
name,Biblioteca Comunale dell'Archiginnasio,2,0.0455
name,Binario 10/11,2,0.0455
name,Binario 2,2,0.0455
name,Binario 3/4,2,0.0455
name,Binario 8/9,2,0.0455
name,Bivio Gambettola,2,0.0455
name,Bologna Via Larga,2,0.0455
name,Caffitaly,2,0.0455
name,Calanchi di Paderno,2,0.0455
name,Camomilla,2,0.0455
name,Canale Cavaticcio,2,0.0455
name,Carabinieri,2,0.0455
name,Caserma Mameli,2,0.0455
name,"Cassa laminazione ""Vedrana""",2,0.0455
name,Cassetta Ciclo Riparazione Santa Graziella dell'Apocalisse ACAB,2,0.0455
name,Castello di Porta Galliera,2,0.0455
name,Centro Commerciale Vialarga,2,0.0455
name,Cesarina,2,0.0455
name,Charget,2,0.0455
name,Conad City,2,0.0455
name,Crocetta,2,0.0455
