start_date,creates,edits,deletes,total
2023-02-01,107,177,25,309
2023-02-02,932,629,258,1819
2023-02-03,674,309,105,1088
2023-02-04,775,1054,106,1935
2023-02-05,587,1186,336,2109
2023-02-06,303,228,68,599
2023-02-07,2108,728,646,3482
2023-02-08,1475,341,236,2052
2023-02-09,2982,594,1874,5450
2023-02-10,545,244,20,809
2023-02-11,1973,842,775,3590
2023-02-12,2268,1005,187,3460
2023-02-13,1604,1616,372,3592
2023-02-14,3376,1690,230,5296
2023-02-15,991,574,108,1673
2023-02-16,1605,987,239,2831
2023-02-17,1011,880,205,2096
2023-02-18,775,1281,217,2273
2023-02-19,3288,1977,364,5629
2023-02-20,1370,1124,428,2922
2023-02-21,1806,1267,477,3550
2023-02-22,1862,1458,149,3469
2023-02-23,3176,1886,268,5330
2023-02-24,1281,1294,208,2783
2023-02-25,357,403,58,818
2023-02-26,674,783,166,1623
2023-02-27,613,483,65,1161
2023-02-28,631,379,232,1242
2023-03-01,540,381,177,1098
2023-03-02,719,858,120,1697
2023-03-03,583,1020,101,1704
2023-03-04,748,867,216,1831
2023-03-05,479,688,134,1301
2023-03-06,477,301,22,800
2023-03-07,1301,699,83,2083
2023-03-08,278,206,85,569
2023-03-09,276,190,81,547
2023-03-10,500,329,18,847
2023-03-11,427,1172,584,2183
2023-03-12,782,1218,185,2185
2023-03-13,362,309,58,729
2023-03-14,1521,655,256,2432
2023-03-15,1558,679,69,2306
2023-03-16,476,300,47,823
2023-03-17,992,422,112,1526
2023-03-18,755,563,37,1355
2023-03-19,1523,1015,93,2631
2023-03-20,1172,1126,174,2472
2023-03-21,683,615,56,1354
2023-03-22,495,550,69,1114
2023-03-23,1018,1179,142,2339
2023-03-24,2901,2100,224,5225
2023-03-25,481,393,32,906
2023-03-26,3055,2404,203,5662
2023-03-27,1626,985,150,2761
2023-03-28,4434,961,91,5486
2023-03-29,349,755,105,1209
2023-03-30,596,460,60,1116
2023-03-31,1221,1162,145,2528
2023-04-01,179,259,15,453
2023-04-02,581,285,128,994
2023-04-03,2574,1240,152,3966
2023-04-04,2123,996,169,3288
2023-04-05,529,558,55,1142
2023-04-06,1703,1455,65,3223
2023-04-07,616,2929,45,3590
2023-04-08,1541,650,153,2344
2023-04-09,693,94,62,849
2023-04-10,1501,1322,123,2946
2023-04-11,814,2503,151,3468
2023-04-12,485,709,941,2135
2023-04-13,234,431,97,762
2023-04-14,658,720,285,1663
2023-04-15,2503,1645,237,4385
2023-04-16,817,479,225,1521
2023-04-17,813,712,290,1815
2023-04-18,1927,1747,185,3859
2023-04-19,1065,736,212,2013
2023-04-20,573,1322,160,2055
2023-04-21,3978,2183,497,6658
2023-04-22,201,850,204,1255
2023-04-23,1931,1108,425,3464
2023-04-24,3880,1819,209,5908
2023-04-25,5450,4303,686,10439
2023-04-26,653,222,53,928
2023-04-27,1776,784,73,2633
2023-04-28,2082,1387,159,3628
2023-04-29,8857,4864,1556,15277
2023-04-30,5140,3101,453,8694
2023-05-01,2655,1979,425,5059
2023-05-02,607,334,62,1003
2023-05-03,1136,5131,391,6658
2023-05-04,1009,755,609,2373
2023-05-05,3280,1409,793,5482
2023-05-06,2784,1410,790,4984
2023-05-07,8183,3977,1590,13750
2023-05-08,3974,1936,834,6744
2023-05-09,1729,1622,473,3824
2023-05-10,3961,2615,619,7195
2023-05-11,1561,1263,360,3184
2023-05-12,1367,1079,129,2575
2023-05-13,3276,2995,625,6896
2023-05-14,2700,2368,840,5908
2023-05-15,1639,1604,314,3557
2023-05-16,3087,2431,891,6409
2023-05-17,4849,2670,910,8429
2023-05-18,6947,3470,961,11378
2023-05-19,11862,2551,474,14887
2023-05-20,7805,2750,1166,11721
2023-05-21,6233,3395,2259,11887
2023-05-22,7918,4903,1838,14659
2023-05-23,2745,2519,696,5960
2023-05-24,1551,1545,226,3322
2023-05-25,1637,2087,574,4298
2023-05-26,1011,2176,549,3736
2023-05-27,2354,1945,890,5189
2023-05-28,1076,875,55,2006
2023-05-29,1746,868,298,2912
2023-05-30,1388,1203,468,3059
2023-05-31,3304,2873,740,6917
2023-06-01,1259,475,131,1865
2023-06-02,1825,2534,750,5109
2023-06-03,1840,2110,911,4861
2023-06-04,3287,3541,1740,8568
2023-06-05,830,419,295,1544
2023-06-06,2247,2654,894,5795
2023-06-07,959,491,437,1887
2023-06-08,1728,2552,579,4859
2023-06-09,1598,4178,870,6646
2023-06-10,944,2871,559,4374
2023-06-11,1641,1074,293,3008
2023-06-12,989,843,223,2055
2023-06-13,2023,1864,682,4569
2023-06-14,4684,3298,1980,9962
2023-06-15,4205,2009,722,6936
2023-06-16,3881,1444,348,5673
2023-06-17,1377,596,506,2479
2023-06-18,1317,871,594,2782
2023-06-19,1209,859,226,2294
2023-06-20,2641,1225,438,4304
2023-06-21,3276,1150,417,4843
2023-06-22,1588,1079,291,2958
2023-06-23,3636,1032,220,4888
2023-06-24,387,234,164,785
2023-06-25,1410,1366,257,3033
2023-06-26,1903,971,122,2996
2023-06-27,5287,910,276,6473
2023-06-28,5278,2303,348,7929
2023-06-29,2328,1562,837,4727
2023-06-30,1946,1598,905,4449
2023-07-01,1004,15976,102,17082
2023-07-02,1354,3674,88,5116
2023-07-03,1875,2788,295,4958
2023-07-04,4124,15926,543,20593
2023-07-05,3143,1637,415,5195
2023-07-06,1225,1596,237,3058
2023-07-07,3530,1724,670,5924
2023-07-08,1606,832,303,2741
2023-07-09,1053,856,189,2098
2023-07-10,1264,1194,75,2533
2023-07-11,2787,1146,121,4054
2023-07-12,3228,1720,325,5273
2023-07-13,2864,804,248,3916
2023-07-14,1449,1220,235,2904
2023-07-15,1619,846,581,3046
2023-07-16,1251,1250,351,2852
2023-07-17,2788,908,361,4057
2023-07-18,3700,1037,158,4895
2023-07-19,2031,1692,474,4197
2023-07-20,2285,701,223,3209
2023-07-21,2534,2109,204,4847
2023-07-22,553,800,280,1633
2023-07-23,830,971,133,1934
2023-07-24,2558,2893,614,6065
2023-07-25,6674,4787,620,12081
2023-07-26,5610,4140,796,10546
2023-07-27,2800,2566,221,5587
2023-07-28,1520,1283,294,3097
2023-07-29,229,62,26,317
2023-07-30,2279,1629,139,4047
2023-07-31,1460,1011,305,2776
2023-08-01,1880,1534,560,3974
2023-08-02,2582,1830,209,4621
2023-08-03,1838,1181,420,3439
2023-08-04,4428,1670,324,6422
2023-08-05,1351,713,102,2166
2023-08-06,2765,1486,251,4502
2023-08-07,2484,2410,275,5169
2023-08-08,3721,3110,549,7380
2023-08-09,2345,2164,648,5157
2023-08-10,3387,3591,498,7476
2023-08-11,2882,1696,381,4959
2023-08-12,613,1091,409,2113
2023-08-13,1794,1188,632,3614
2023-08-14,941,634,77,1652
2023-08-15,2051,1207,3326,6584
2023-08-16,1809,1962,397,4168
2023-08-17,6844,2186,1664,10694
2023-08-18,3772,1286,571,5629
2023-08-19,3923,1989,825,6737
2023-08-20,2989,2298,659,5946
2023-08-21,1409,841,232,2482
2023-08-22,3190,1745,917,5852
2023-08-23,3853,778,663,5294
2023-08-24,5209,2959,1260,9428
2023-08-25,1909,1038,350,3297
2023-08-26,1827,2258,263,4348
2023-08-27,2607,1331,392,4330
2023-08-28,1926,1037,399,3362
2023-08-29,1161,1196,220,2577
2023-08-30,2853,1894,284,5031
2023-08-31,2637,1436,270,4343
2023-09-01,907,728,146,1781
2023-09-02,23,172,2,197
2023-09-03,498,369,59,926
2023-09-04,1823,1409,310,3542
2023-09-05,3657,1049,268,4974
2023-09-06,3291,429,59,3779
2023-09-07,1535,403,56,1994
2023-09-08,3317,405,31,3753
2023-09-09,1334,1121,88,2543
2023-09-10,2307,1761,31,4099
2023-09-11,1896,1299,287,3482
2023-09-12,1686,668,131,2485
2023-09-13,1250,1629,566,3445
2023-09-14,6232,1872,363,8467
2023-09-15,1851,859,101,2811
2023-09-16,1622,784,140,2546
2023-09-17,946,758,270,1974
2023-09-18,1087,529,114,1730
2023-09-19,758,431,266,1455
2023-09-20,771,492,123,1386
2023-09-21,863,1204,65,2132
2023-09-22,998,794,165,1957
2023-09-23,606,473,59,1138
2023-09-24,1278,1492,176,2946
2023-09-25,2161,960,434,3555
2023-09-26,388,310,14,712
2023-09-27,516,506,55,1077
2023-09-28,2093,1241,418,3752
2023-09-29,1392,701,259,2352
2023-09-30,996,581,243,1820
2023-10-01,3600,792,62,4454
2023-10-02,1382,1293,72,2747
2023-10-03,3492,1933,563,5988
2023-10-04,1402,816,126,2344
2023-10-05,2760,1794,333,4887
2023-10-06,1469,857,151,2477
2023-10-07,1297,571,32,1900
2023-10-08,3301,1658,1273,6232
2023-10-09,2510,905,98,3513
